Run ID,Algorithm (mathcalM),Scenario (mathcalS),Data Source,Instances,Instance Size,Repetition,Path Length (L),Packets Expected,Packets Received,Avg Latency (mathcalL),Avg Throughput (mathcalT),Energy Consumed,Mission Duration,Total Computation Time (ms)
65,CRL-U,10 Instances of 200 (CRL-U),data/tsp/tsp200_val_mg_seed2222_size10K.pkl,10,200,1,17313.34839838301,208327,208327,551.8600000001121,214.46057236974195,971,971.4000000001523,2699.4333267211914
1,CRL-FD,2 Instances of 50 (CRL-FD),data/tsp/tsp50_val_mg_seed2222_size10K.pkl,2,50,1,6399.626657975944,15624,15624,241.95000000000692,48.627450980391465,321,321.30000000000456,438.6253356933594
2,CRL-FD,4 Instances of 50 (CRL-FD),data/tsp/tsp50_val_mg_seed2222_size10K.pkl,4,50,1,12552.696228338316,30631,30631,399.22500000006664,48.60520469691585,630,630.2000000000747,295.53842544555664
3,CRL-FD,6 Instances of 50 (CRL-FD),data/tsp/tsp50_val_mg_seed2222_size10K.pkl,6,50,1,18502.760494814982,44395,44395,544.8500000001078,47.803381070306,928,928.7000000001426,397.968053817749
4,CRL-FD,8 Instances of 50 (CRL-FD),data/tsp/tsp50_val_mg_seed2222_size10K.pkl,8,50,1,24245.744145085224,58852,58852,682.7624999999281,48.326490392511566,1217,1217.799999999988,573.1391906738281
5,CRL-FD,10 Instances of 50 (CRL-FD),data/tsp/tsp50_val_mg_seed2222_size10K.pkl,10,50,1,29924.22430093072,73052,73052,819.5099999996941,48.62677228250893,1502,1502.2999999997292,666.5318012237549
6,CRL-FD,2 Instances of 100 (CRL-FD),data/tsp/tsp100_val_mg_seed2222_size10K.pkl,2,100,1,3026.589756245207,16270,16270,117.79999999999546,101.75109443402431,159,159.8999999999952,252.6719570159912
7,CRL-FD,4 Instances of 100 (CRL-FD),data/tsp/tsp100_val_mg_seed2222_size10K.pkl,4,100,1,6475.71225848296,38360,38360,232.82500000001266,111.70646476412035,343,343.4000000000096,466.2187099456787
8,CRL-FD,6 Instances of 100 (CRL-FD),data/tsp/tsp100_val_mg_seed2222_size10K.pkl,6,100,1,9532.851520664455,50582,50582,311.5333333333773,99.53168044076213,508,508.20000000004705,755.1579475402832
9,CRL-FD,8 Instances of 100 (CRL-FD),data/tsp/tsp100_val_mg_seed2222_size10K.pkl,8,100,1,12715.276433143841,68632,68632,395.8000000000698,101.10783736003437,678,678.8000000000858,1004.2247772216797
10,CRL-FD,10 Instances of 100 (CRL-FD),data/tsp/tsp100_val_mg_seed2222_size10K.pkl,10,100,1,16199.645533673325,90004,90004,495.9100000000966,104.09900532036396,864,864.600000000128,1407.5026512145996
11,CRL-FD,2 Instances of 150 (CRL-FD),data/tsp/tsp150_val_mg_seed2222_size10K.pkl,2,150,1,2953.036717689344,29347,29347,126.74999999999494,176.8957203134473,165,165.89999999999486,395.26963233947754
12,CRL-FD,4 Instances of 150 (CRL-FD),data/tsp/tsp150_val_mg_seed2222_size10K.pkl,4,150,1,6313.831020510253,60857,60857,231.90000000001442,174.17572982254748,349,349.40000000001095,863.9116287231445
13,CRL-FD,6 Instances of 150 (CRL-FD),data/tsp/tsp150_val_mg_seed2222_size10K.pkl,6,150,1,9707.872533375834,86179,86179,327.70000000004893,161.68667917446808,533,533.0000000000526,1311.5389347076416
14,CRL-FD,8 Instances of 150 (CRL-FD),data/tsp/tsp150_val_mg_seed2222_size10K.pkl,8,150,1,12971.857169714474,117854,117854,416.25000000007543,165.3395061728178,712,712.8000000000935,1484.2095375061035
15,CRL-FD,10 Instances of 150 (CRL-FD),data/tsp/tsp150_val_mg_seed2222_size10K.pkl,10,150,1,16387.102092726287,141817,141817,512.5000000001012,157.66203446356704,899,899.500000000136,2062.6702308654785
